Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A7W5FE05	unreviewed	Actinoplanes campanulatus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W5FH31	unreviewed	Actinoplanes campanulatus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W5GZA2	unreviewed	Halomonas fontilapidosi	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W5K192	unreviewed	Halomonas campaniensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W5K2Z7	unreviewed	Halomonas campaniensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6BNJ9	unreviewed	Sphingobium jiangsuense	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A7W6BWB4	unreviewed	Aureimonas phyllosphaerae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6CQJ9	unreviewed	Rhizobium metallidurans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6DEA0	unreviewed	Mycoplana azooxidifex	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6DQL2	unreviewed	Sagittula marina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6E9D6	unreviewed	Aureimonas pseudogalii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6EAC4	unreviewed	Aureimonas pseudogalii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6EG12	unreviewed	Pseudochelatococcus contaminans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6ER88	unreviewed	Runella defluvii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6F2A8	unreviewed	Sphingomonas pseudosanguinis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6FUX2	unreviewed	Aureimonas phyllosphaerae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6GL49	unreviewed	Mycoplana azooxidifex	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6HDU0	unreviewed	Aurantimonas endophytica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6HES8	unreviewed	Aurantimonas endophytica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6ILY7	unreviewed	Devosia subaequoris	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6IRN9	unreviewed	Devosia subaequoris	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6J7T8	unreviewed	Gellertiella hungarica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6JNF9	unreviewed	Sphingomonas kyeonggiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6K1Y4	unreviewed	Allorhizobium borbori	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6KJW4	unreviewed	Martelella radicis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6MMU7	unreviewed	Aurantimonas endophytica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6PR95	unreviewed	Affinirhizobium rhizoryzae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6QAY1	unreviewed	Rhizobium aethiopicum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6QBN3	unreviewed	Rhizobium aethiopicum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6R9T7	unreviewed	Roseospira visakhapatnamensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6WR97	unreviewed	Aliirhizobium cellulosilyticum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W6XW58	unreviewed	Rhizobium esperanzae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7CG09	unreviewed	Crossiella cryophila	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7ENL6	unreviewed	Martinezella leucaenae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7R3J2	unreviewed	Kitasatospora kifunensis (Streptomyces kifunensis)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7RCV6	unreviewed	Lipingzhangella halophila	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7RHX1	unreviewed	Lipingzhangella halophila	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7RJZ3	unreviewed	Lipingzhangella halophila	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7S5D1	unreviewed	Streptosporangium album	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7SX50	unreviewed	Micromonospora polyrhachis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W7YVD9	unreviewed	Shinella fusca	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W8ENH5	unreviewed	Pseudochrobactrum saccharolyticum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W8INQ7	unreviewed	Anoxybacteroides tepidamans	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A7W8L065	unreviewed	Paraburkholderia youngii	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7W8QII5	unreviewed	Nocardiopsis composta	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W8UGQ2	unreviewed	Rhizobium giardinii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W8XK69	unreviewed	Rhizobium lentis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W8XWA6	unreviewed	Martinezella paranaensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9AWU6	unreviewed	Brucella daejeonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9AX43	unreviewed	Brucella daejeonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9CUL8	unreviewed	Prosthecomicrobium pneumaticum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9EKG7	unreviewed	Brucella daejeonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9EWP0	unreviewed	Yoonia ponticola	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9F4H6	unreviewed	Sphingomonas prati	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9GNL6	unreviewed	Jiangella mangrovi	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9HBW4	unreviewed	Streptomyces caelestis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9J3D7	unreviewed	Kribbella italica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9LEW2	unreviewed	Nonomuraea jabiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9LPD0	unreviewed	Jiangella mangrovi	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9LZZ5	unreviewed	Saccharothrix ecbatanensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9QAB2	unreviewed	Streptomyces zagrosensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9QB85	unreviewed	Streptomyces zagrosensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9S4Q2	unreviewed	Aquamicrobium lusatiense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9S6H2	unreviewed	Aquamicrobium lusatiense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9SST2	unreviewed	Armatimonas rosea	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9WA88	unreviewed	Hymenobacter luteus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7W9YAI2	unreviewed	Aliirhizobium wenxiniae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0DD66	unreviewed	Pseudorhizobium flavum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0DDM6	unreviewed	Pseudorhizobium flavum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0F9E9	unreviewed	Aminobacter aganoensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0FPD1	unreviewed	Microbacterium thalassium	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0FXT8	unreviewed	Actinomadura coerulea	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0HLA3	unreviewed	Streptomyces candidus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0IKK1	unreviewed	Sphaerisporangium rubeum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0IZV0	unreviewed	Martinezella lusitana	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0KNW1	unreviewed	Aminobacter aganoensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0KTD5	unreviewed	Microbacterium thalassium	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A7X0MSG8	unreviewed	Velazquezella soli	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0TYL7	unreviewed	Nonomuraea rubra	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0U0A5	unreviewed	Nonomuraea rubra	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X0U9G1	unreviewed	Acidovorax soli	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X1N7W2	unreviewed	Paraburkholderia franconis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7X2T9L7	unreviewed	Pseudoramibacter porci	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7X3MK60	unreviewed	Sporofaciens musculi	Ureidoglycolate dehydrogenase		
A0A7X3SIC2	unreviewed	Sporofaciens musculi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7X4YPT1	unreviewed	Paenibacillus sacheonensis	Ureidoglycolate dehydrogenase		
A0A7X5VFG5	unreviewed	Kribbella shirazensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X6A4X0	unreviewed	Kribbella shirazensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X6A5L3	unreviewed	Kribbella shirazensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X6A5M7	unreviewed	Kribbella shirazensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X6B7W9	unreviewed	Sphingopyxis italica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7X6I6R5	unreviewed	Ramlibacter lithotrophicus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7X9ZY68	unreviewed	Paraburkholderia antibiotica	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y4LW99	unreviewed	Bradyrhizobium australiense	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y4M0E8	unreviewed	Bradyrhizobium archetypum	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9B138	unreviewed	Mogibacterium timidum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A7Y9FKJ3	unreviewed	Sphingomonas melonis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9IB86	unreviewed	Microlunatus parietis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9IQR1	unreviewed	Pigmentiphaga litoralis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9JKZ5	unreviewed	Microbacterium pseudoresistens	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9KQA0	unreviewed	Nocardioides cavernae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9LL76	unreviewed	Pigmentiphaga litoralis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Y9U5F1	unreviewed	Sphaerotilus montanus	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A7Y9XQI0	unreviewed	Phytopseudomonas flavescens	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Z0EHE4	unreviewed	Glaciibacter psychrotolerans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Z0EJC4	unreviewed	Nocardiopsis aegyptia	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A7Z2GMT1	unreviewed	Paraburkholderia acidisoli	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7Z2JB59	unreviewed	Paraburkholderia acidiphila	Malate/lactate/ureidoglycolate dehydrogenase		
A0A7Z2YDJ3	unreviewed	Vibrio astriarenae	Ureidoglycolate dehydrogenase		
A0A7Z7IEQ7	unreviewed	Caballeronia arationis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A839GNI9	unreviewed	Rufibacter quisquiliarum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A839SM11	unreviewed	Mucilaginibacter gotjawali	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A839UF71	unreviewed	Phyllobacterium trifolii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A839V7W5	unreviewed	Halomonas cerina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A839ZAS1	unreviewed	Ancylobacter tetraedralis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A839ZG71	unreviewed	Ancylobacter tetraedralis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840AA79	unreviewed	Roseococcus suduntuyensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840AK94	unreviewed	Kaistia hirudinis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840AP89	unreviewed	Kaistia hirudinis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840AU32	unreviewed	Kaistia hirudinis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840BWV3	unreviewed	Chelatococcus caeni	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840FID4	unreviewed	Sphingomonas jinjuensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840FLU3	unreviewed	Variovorax guangxiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840GBE4	unreviewed	Variovorax guangxiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840J0J2	unreviewed	Amycolatopsis jiangsuensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840J2E6	unreviewed	Amycolatopsis jiangsuensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840LEX5	unreviewed	Roseateles oligotrophus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840NFS2	unreviewed	Saccharopolyspora gloriosae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840NGI0	unreviewed	Saccharopolyspora gloriosae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840P211	unreviewed	Thermocatellispora tengchongensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840QDE6	unreviewed	Saccharopolyspora phatthalungensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840QEV7	unreviewed	Saccharopolyspora phatthalungensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840QH61	unreviewed	Saccharopolyspora phatthalungensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840SI94	unreviewed	Amaricoccus macauensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840SLN9	unreviewed	Amaricoccus macauensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840SWN3	unreviewed	Amaricoccus macauensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840TZ77	unreviewed	Rhabdobacter roseus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840XVL4	unreviewed	Muricoccus pecuniae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840Y0Q8	unreviewed	Muricoccus pecuniae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840Y4T1	unreviewed	Muricoccus pecuniae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840Y7R4	unreviewed	Muricoccus pecuniae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840YCM3	unreviewed	Neoroseomonas alkaliterrae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A840YXS5	unreviewed	Stakelama sediminis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841B7C1	unreviewed	Amycolatopsis umgeniensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841D9U2	unreviewed	Thiemannella venezuelensis (Planomonospora venezuelensis)	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A841DJN3	unreviewed	Kribbella solani	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841E9T2	unreviewed	Streptomonospora salina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841EK71	unreviewed	Streptomonospora salina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841ELF6	unreviewed	Arcicella rosea	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841ISU3	unreviewed	Nocardiopsis algeriensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841JHW3	unreviewed	Mucilaginibacter lappiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841MT39	unreviewed	Algoriphagus iocasae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841PII2	unreviewed	Geomicrobium halophilum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841PLJ8	unreviewed	Geomicrobium halophilum	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A841Q5L6	unreviewed	Salirhabdus euzebyi	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841R6C7	unreviewed	Spirochaeta isovalerica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A841R800	unreviewed	Spirochaeta isovalerica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A844ASG9	unreviewed	Caenimonas koreensis DSM 17982	Malate/lactate/ureidoglycolate dehydrogenase		
A0A844T183	unreviewed	Bradyrhizobium pachyrhizi	Malate/lactate/ureidoglycolate dehydrogenase		
A0A844T2H6	unreviewed	Bradyrhizobium cajani	Malate/lactate/ureidoglycolate dehydrogenase		
A0A845BEN8	unreviewed	Teichococcus coralli	Malate/lactate/ureidoglycolate dehydrogenase		
A0A845MIR6	unreviewed	Sneathiella chungangensis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A845SRI8	unreviewed	Acerihabitans arboris	Malate/lactate/ureidoglycolate dehydrogenase		
A0A846MPD7	unreviewed	Thermonema lapsum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A846RT90	unreviewed	Arthrobacter pigmenti	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A848EEG1	unreviewed	Neoroseomonas marina	Malate/lactate/ureidoglycolate dehydrogenase		
A0A848ELI7	unreviewed	Neoroseomonas marina	Malate/lactate/ureidoglycolate dehydrogenase		
A0A848HJ93	unreviewed	Ramlibacter agri	Malate/lactate/ureidoglycolate dehydrogenase		
A0A848IHB4	unreviewed	Paraburkholderia polaris	Malate/lactate/ureidoglycolate dehydrogenase		
A0A848MF04	unreviewed	Rouxiella aceris	Malate/lactate/ureidoglycolate dehydrogenase		
A0A849IAC6	unreviewed	Enterovirga aerilata	Malate/lactate/ureidoglycolate dehydrogenase		
A0A849KGW4	unreviewed	Ramlibacter montanisoli	Malate/lactate/ureidoglycolate dehydrogenase		
A0A852RBQ5	unreviewed	Leucobacter aridicollis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A852U2W5	unreviewed	Spinactinospora alkalitolerans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A852U3S4	unreviewed	Spinactinospora alkalitolerans	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A852VYY9	unreviewed	Pseudonocardia alni (Amycolata alni)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A852VZT9	unreviewed	Pseudonocardia alni (Amycolata alni)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A852W8C8	unreviewed	Pseudonocardia alni (Amycolata alni)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A852WFD6	unreviewed	Pseudonocardia alni (Amycolata alni)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A852YAA6	unreviewed	Schumannella luteola	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A853BQJ1	unreviewed	Streptomonospora nanhaiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A853BWY9	unreviewed	Streptomonospora nanhaiensis	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A892IFS1	unreviewed	Burkholderia dolosa	Malate/lactate/ureidoglycolate dehydrogenase		
A0A8A8D8A1	unreviewed	Burkholderia seminalis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A8B4TTQ9	unreviewed	Klebsiella quasivariicola	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A8E2I4L5	unreviewed	Heyndrickxia oleronia	Ureidoglycolate dehydrogenase		
A0A8E2I5X0	unreviewed	Heyndrickxia oleronia	Ureidoglycolate dehydrogenase		
A0A8E3B832	unreviewed	Rhizobium loti (Mesorhizobium loti)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A8I0FUA4	unreviewed	Aeromicrobium tamlense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A8I0KNG5	unreviewed	Aeromicrobium tamlense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A8J2U7W2	unreviewed	Neiella marina	Ureidoglycolate dehydrogenase		
A0A8J2ZDG3	unreviewed	Caldovatus sediminis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A8J2ZP27	unreviewed	Compostibacillus humi	Ureidoglycolate dehydrogenase		
A0A8J3GXG0	unreviewed	Seohaeicola zhoushanensis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A916W4R4	unreviewed	Ornithinibacillus halotolerans	Ureidoglycolate dehydrogenase		
A0A916W4U8	unreviewed	Ornithinibacillus halotolerans	Ureidoglycolate dehydrogenase		
A0A916WGC4	unreviewed	Polaromonas eurypsychrophila	Malate/lactate/ureidoglycolate dehydrogenase		
A0A917K963	unreviewed	Neoroseomonas lacus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A917KWV4	unreviewed	Neoroseomonas lacus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A917MGD1	unreviewed	Alsobacter metallidurans	Malate/lactate/ureidoglycolate dehydrogenase		
A0A917N637	unreviewed	Enterococcus alcedinis	Ureidoglycolate dehydrogenase		
A0A917SUN3	unreviewed	Nakamurella endophytica	Malate/lactate/ureidoglycolate dehydrogenase		
A0A917UYH2	unreviewed	Lentibacillus kapialis	Ureidoglycolate dehydrogenase		
A0A917UYI0	unreviewed	Lentibacillus kapialis	Ureidoglycolate dehydrogenase		
A0A918XN95	unreviewed	Thalassobaculum fulvum	Malate/lactate/ureidoglycolate dehydrogenase		
A0A918XQ58	unreviewed	Thalassobaculum fulvum	Malate/lactate/ureidoglycolate dehydrogenase		
A0A923M906	unreviewed	Ramlibacter albus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A923MWF8	unreviewed	Ramlibacter cellulosilyticus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A926RZS3	unreviewed	Metabacillus arenae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A927E968	unreviewed	Allobosea spartocytisi	Malate/lactate/ureidoglycolate dehydrogenase		
A0A927GZ71	unreviewed	Paenibacillus oceani	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A927IKW6	unreviewed	Limnohabitans radicicola	Malate/lactate/ureidoglycolate dehydrogenase		
A0A927M5R7	unreviewed	Plantactinospora soyae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A931DDZ4	unreviewed	Actinomadura viridis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A931DLA3	unreviewed	Actinomadura viridis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A931MIB5	unreviewed	Caenimonas aquaedulcis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A934P9P6	unreviewed	Streptococcus zalophi	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A934STY5	unreviewed	Noviherbaspirillum pedocola	Malate/lactate/ureidoglycolate dehydrogenase		
A0A934T1M8	unreviewed	Noviherbaspirillum pedocola	Malate/lactate/ureidoglycolate dehydrogenase		
A0A934TNS7	unreviewed	Ramlibacter ginsenosidimutans	Malate/lactate/ureidoglycolate dehydrogenase		
A0A934US73	unreviewed	Ramlibacter algicola	Malate/lactate/ureidoglycolate dehydrogenase		
A0A936YYW5	unreviewed	Ramlibacter monticola	Malate/lactate/ureidoglycolate dehydrogenase		
A0A938X5X6	unreviewed	Mordavella massiliensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A938Y3M2	unreviewed	Brevibacillus fulvus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A940N2M7	unreviewed	Roseomonas indoligenes	Malate/lactate/ureidoglycolate dehydrogenase		
A0A940PC63	unreviewed	Vagococcus allomyrinae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A944CM78	unreviewed	Mesobacillus boroniphilus	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A953N637	unreviewed	Zwartia hollandica	Malate/lactate/ureidoglycolate dehydrogenase		
A0A972JYJ1	unreviewed	Paenibacillus foliorum	Ureidoglycolate dehydrogenase		
A0A974A0Q5	unreviewed	Bradyrhizobium septentrionale	Malate/lactate/ureidoglycolate dehydrogenase		
A0A975NWA4	unreviewed	Bradyrhizobium sediminis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A975U2Z7	unreviewed	Elioraea tepida	Malate/lactate/ureidoglycolate dehydrogenase		
A0A975U5B0	unreviewed	Elioraea tepida	Malate/lactate/ureidoglycolate dehydrogenase		
A0A9C7GCP5	unreviewed	Pseudoneobacillus rhizosphaerae	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	1.1.1.350	
A0A9J6PML4	unreviewed	Winslowiella arboricola	Malate/lactate/ureidoglycolate dehydrogenase		
A0A9J7AKL1	unreviewed	Nisaea acidiphila	Malate/lactate/ureidoglycolate dehydrogenase		
A0A9J7AUE8	unreviewed	Nisaea acidiphila	Malate/lactate/ureidoglycolate dehydrogenase		
A0A9N8CXX9	unreviewed	Citrobacter werkmanii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A9P3Z831	unreviewed	Citrobacter freundii	Malate/lactate/ureidoglycolate dehydrogenase		
A0A9P5D2C1	unreviewed	Geosmithia morbida	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A9Q6WMW3	unreviewed	Paraburkholderia caribensis	Malate/lactate/ureidoglycolate dehydrogenase		
