Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A1G9V034	unreviewed	Nonomuraea jiangxiensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9X047	unreviewed	Daejeonella rubra	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9Y954	unreviewed	Fictibacillus solisalsi	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G9YQB7	unreviewed	Megasphaera paucivorans	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0BY90	unreviewed	Tenuibacillus multivorans	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0FHV2	unreviewed	Aureimonas jatrophae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0GND8	unreviewed	Pedobacter steynii	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0GPZ3	unreviewed	Klenkia soli	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0H010	unreviewed	Vreelandella arcis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0HRT2	unreviewed	Aureimonas jatrophae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0IUA2	unreviewed	Vreelandella arcis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0KPS6	unreviewed	Aureimonas jatrophae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0MK85	unreviewed	Pseudomonas extremorientalis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0T8W1	unreviewed	Pedococcus dokdonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0UL03	unreviewed	Actinokineospora alba	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0WAA6	unreviewed	Paracidovorax cattleyae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0YE81	unreviewed	Carnobacterium viridans	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H0Z0E3	unreviewed	Virgibacillus salinus	Ureidoglycolate dehydrogenase (NAD+)		
A0A1H1HDU1	unreviewed	Pseudomonas grimontii	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H1KIT6	unreviewed	Paraburkholderia tuberum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H1P5H7	unreviewed	Pseudomonas asplenii	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H1Z731	unreviewed	Friedmanniella luteola	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H2PQV5	unreviewed	Chitinasiproducens palmae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H2PU56	unreviewed	Chitinasiproducens palmae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H2V1N1	unreviewed	Alicyclobacillus hesperidum	Ureidoglycolate dehydrogenase (NAD+)		
A0A1H2V8Q4	unreviewed	Alicyclobacillus hesperidum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H2W395	unreviewed	Roseicitreum antarcticum	Ureidoglycolate dehydrogenase (NAD+)		
A0A1H2YF64	unreviewed	Paracoccus sanguinis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H2YTH8	unreviewed	Roseicitreum antarcticum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3AIT8	unreviewed	Roseicitreum antarcticum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3CRG5	unreviewed	Geodermatophilus africanus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3D1Z2	unreviewed	Roseicitreum antarcticum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3D4P9	unreviewed	Geodermatophilus africanus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3GX66	unreviewed	Aidingimonas halophila	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3HVJ0	unreviewed	Aidingimonas halophila	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3KJ33	unreviewed	Hymenobacter psychrophilus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
