Entry	Rhea ID	Organism	Protein names
P42765	RHEA:21564 RHEA:21036 RHEA:20289 RHEA:40103 RHEA:40111 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645	Homo sapiens (Human)	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)
P45359	RHEA:21036	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W)	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (CaTHL)
Q3T0R7	RHEA:21564 RHEA:21036 RHEA:20289 RHEA:40103 RHEA:40111 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645	Bos taurus (Bovine)	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)
Q4WCL5	RHEA:21036	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	Acetyl-CoA acetyltransferase erg10B, cytosolic (EC 2.3.1.9) (Acetoacetyl-CoA thiolase erg10B) (ACAT) (Cytosolic thiolase erg10B) (CT) (Ergosterol biosynthesis protein 10B)
Q5RES5	RHEA:21564 RHEA:21036 RHEA:20289 RHEA:40103 RHEA:40111 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)
Q5XI22	RHEA:21036	Rattus norvegicus (Rat)	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Cytosolic acetoacetyl-CoA thiolase)
Q8BWT1	RHEA:21564 RHEA:21036 RHEA:20289 RHEA:40103 RHEA:40111 RHEA:40115 RHEA:30143 RHEA:40059 RHEA:30135 RHEA:40119 RHEA:16645	Mus musculus (Mouse)	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acetyltransferase) (EC 2.3.1.9) (Acetyl-CoA acyltransferase) (Acyl-CoA hydrolase, mitochondrial) (EC 3.1.2.-, EC 3.1.2.1, EC 3.1.2.2) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase)
Q8CAY6	RHEA:21036	Mus musculus (Mouse)	Acetyl-CoA acetyltransferase, cytosolic (EC 2.3.1.9) (Cytosolic acetoacetyl-CoA thiolase)
Q8QZT1	RHEA:21036 RHEA:30719	Mus musculus (Mouse)	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)
Q8S4Y1	RHEA:21036	Arabidopsis thaliana (Mouse-ear cress)	Acetyl-CoA acetyltransferase 2 (EC 2.3.1.9) (Acetoacetyl-CoA thiolase 2) (Thiolase 2) (Protein EMBRYO DEFECTIVE 1276)
