Entry	Rhea ID	Organism	Protein names
P0DO40	RHEA:67404 RHEA:17945 RHEA:18957	Origanum majorana (Sweet marjoram) (Majorana hortensis)	Cytochrome P450 71D180 (Carvacrol synthase) (EC 1.14.14.-) (Carveol synthase) (EC 1.14.14.51, EC 1.14.14.53) (Gamma-terpinene hydroxylase) (Limonene hydroxylase)
P45741	RHEA:17697	Paenibacillus thiaminolyticus (Bacillus thiaminolyticus)	Thiaminase-1 (EC 2.5.1.2) (Thiaminase I) (Thiamine pyridinylase)
P50506	RHEA:22740 RHEA:16125 RHEA:17825	Schwanniomyces occidentalis (Yeast) (Debaryomyces occidentalis)	Hexokinase (EC 2.7.1.1)
P54495	RHEA:17825	Bacillus subtilis (strain 168)	Glucokinase (EC 2.7.1.2) (Glucose kinase)
P80581	RHEA:22740 RHEA:16125 RHEA:17825	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	Hexokinase (EC 2.7.1.1)
P9WIN1	RHEA:22036 RHEA:17825	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Polyphosphate glucokinase (Poly(P) glucokinase) (EC 2.7.1.63) (ATP-dependent glucokinase) (EC 2.7.1.2) (Polyphosphate--glucose phosphotransferase)
Q02155	RHEA:22740 RHEA:11028 RHEA:16125 RHEA:17825	Plasmodium falciparum	Hexokinase (EC 2.7.1.1)
Q4U3Y2	RHEA:22740 RHEA:16125 RHEA:17825	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	Hexokinase-1 (EC 2.7.1.1) (Hexokinase I)
Q56XE8	RHEA:22740 RHEA:16125 RHEA:17825	Arabidopsis thaliana (Mouse-ear cress)	Hexokinase-4 (EC 2.7.1.1)
Q70FD1	RHEA:68100 RHEA:17389	Ambrosiozyma monospora (Yeast) (Endomycopsis monosporus)	NADH-dependent L-xylulose reductase (EC 1.1.1.15) (EC 1.1.1.250)
Q8LH82	RHEA:22740 RHEA:16125 RHEA:17825	Oryza sativa subsp. japonica (Rice)	Hexokinase-1 (EC 2.7.1.1)
Q969A8	RHEA:22740 RHEA:11028 RHEA:16125 RHEA:17825	Toxoplasma gondii	Hexokinase (EC 2.7.1.1)
Q9FZG4	RHEA:22740 RHEA:16125 RHEA:17825	Arabidopsis thaliana (Mouse-ear cress)	Hexokinase-like 1 protein (EC 2.7.1.1)
Q9SEK2	RHEA:22740 RHEA:16125 RHEA:17825	Nicotiana tabacum (Common tobacco)	Hexokinase-1 (EC 2.7.1.1) (NtHxK1)
