Entry	Rhea ID	Organism	Protein names
P25516	RHEA:10336	Escherichia coli (strain K12)	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)
P27605	RHEA:17973 RHEA:25424	Rattus norvegicus (Rat)	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)
P28271	RHEA:10336	Mus musculus (Mouse)	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)
P28305	RHEA:16201	Escherichia coli (strain K12)	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)
P32455	RHEA:19669 RHEA:22156	Homo sapiens (Human)	Guanylate-binding protein 1 (EC 3.6.1.-) (EC 3.6.5.-) (GTP-binding protein 1) (GBP-1) (HuGBP-1) (hGBP1) (Guanine nucleotide-binding protein 1) (Interferon-induced guanylate-binding protein 1)
P32621	RHEA:22156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Guanosine-diphosphatase (GDPase) (EC 3.6.1.42)
P33221	RHEA:24829 RHEA:11352 RHEA:30755	Escherichia coli (strain K12)	Formate-dependent phosphoribosylglycinamide formyltransferase (EC 6.3.1.21) (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (GAR transformylase 2) (GART 2) (GAR transformylase T) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)
P36683	RHEA:10336 RHEA:17941	Escherichia coli (strain K12)	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)
P37032	RHEA:10336 RHEA:17941	Legionella pneumophila subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (IP210) (Iron-responsive protein-like) (IRP-like) (Major iron-containing protein) (MICP) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)
P42236	RHEA:11296 RHEA:47152	Bacillus subtilis (strain 168)	Alpha-ketoglutaric semialdehyde dehydrogenase (alphaKGSA dehydrogenase) (EC 1.2.1.26) (2,5-dioxovalerate dehydrogenase)
P43859	RHEA:25424 RHEA:10800 RHEA:17973	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)
P47959	RHEA:17973 RHEA:25424	Meriones unguiculatus (Mongolian jird) (Gerbillus unguiculatus)	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)
P49961	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Homo sapiens (Human)	Ectonucleoside triphosphate diphosphohydrolase 1 (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
P51900	RHEA:17973 RHEA:25424 RHEA:10800	Tritrichomonas foetus (Trichomonas foetus) (Tritrichomonas suis)	Hypoxanthine-guanine-xanthine phosphoribosyltransferase (HGPRT) (HGXPRT) (HGXPRTase) (EC 2.4.2.22) (EC 2.4.2.8)
P55772	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64896 RHEA:64900 RHEA:64876	Mus musculus (Mouse)	Ectonucleoside triphosphate diphosphohydrolase 1 (NTPDase 1) (EC 3.6.1.5) (ATP diphosphohydrolase) (ATP-DPH) (ATPDase) (Ecto-ATP diphosphohydrolase 1) (Ecto-ATPDase 1) (Ecto-ATPase 1) (Ecto-apyrase) (Lymphoid cell activation antigen) (Nucleoside triphosphate diphosphohydrolase 1) (NTPDase1) (CD antigen CD39)
P70920	RHEA:10336 RHEA:17941	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (Iron-responsive protein-like) (IRP-like) (Probable 2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (RNA-binding protein)
P77243	RHEA:17725 RHEA:10336	Escherichia coli (strain K12)	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) ((2S,3S)-2-methylcitrate dehydratase) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)
P79784	RHEA:36795 RHEA:23680 RHEA:36799 RHEA:20988 RHEA:13065 RHEA:61436 RHEA:77735 RHEA:28330 RHEA:35207 RHEA:64908 RHEA:29387 RHEA:64880 RHEA:64904 RHEA:19669 RHEA:22156 RHEA:64896 RHEA:64900 RHEA:64876	Gallus gallus (Chicken)	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.5) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)
